symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,786.75,787.25,786.75,787.25,642.6109,292809
HSPX.LSE,d,787.0,789.25,786.5,788.5,643.6313,45097
HSPX.LSE,d,795.5,796.0,790.25,790.25,645.0598,19304
HSPX.LSE,d,788.25,796.0,788.25,795.75,649.5493,32257
HSPX.LSE,d,792.25,801.25,792.25,801.25,654.0388,77676
HSPX.LSE,d,800.25,802.25,797.5,802.25,654.855,62755
HSPX.LSE,d,801.75,809.0,801.75,808.75,660.1608,6347
HSPX.LSE,d,807.75,808.0,807.75,808.0,659.5486,4955
HSPX.LSE,d,814.25,816.5,814.25,816.5,666.4869,13854
HSPX.LSE,d,819.5,824.0,819.5,823.5,672.2008,62836
HSPX.LSE,d,820.75,825.0,820.75,821.75,670.7724,34703
HSPX.LSE,d,826.5,826.5,823.5,823.5,672.2008,30722
HSPX.LSE,d,824.5,824.5,823.75,823.75,672.4049,32657
HSPX.LSE,d,822.5,822.5,819.75,819.75,669.1398,42607
HSPX.LSE,d,827.5,829.75,827.5,829.75,677.3025,10073
HSPX.LSE,d,828.0,830.0,828.0,829.0,676.6903,62940
HSPX.LSE,d,832.5,832.5,821.5,821.5,670.5683,42471
HSPX.LSE,d,824.0,824.0,819.75,819.75,669.1398,6142
HSPX.LSE,d,825.5,827.0,824.75,824.75,673.2212,157663
HSPX.LSE,d,819.25,819.5,819.0,819.25,674.1469,4276
HSPX.LSE,d,817.0,817.25,811.0,811.0,667.3581,97604
HSPX.LSE,d,811.25,812.0,808.75,811.5,667.7696,95051
HSPX.LSE,d,812.75,812.75,809.25,810.75,667.1524,40381
HSPX.LSE,d,810.25,810.25,807.75,809.25,665.9181,225145
HSPX.LSE,d,811.25,811.25,805.25,805.25,662.6266,49837
HSPX.LSE,d,804.0,804.0,803.0,803.0,660.7751,4478
HSPX.LSE,d,805.75,807.5,804.5,804.5,662.0094,72410
HSPX.LSE,d,806.25,806.5,806.25,806.5,663.6552,3548
HSPX.LSE,d,813.0,818.0,813.0,813.25,669.2096,69701
HSPX.LSE,d,819.5,819.5,816.75,816.75,672.0897,31525
HSPX.LSE,d,815.0,815.75,814.25,814.75,670.444,150035
HSPX.LSE,d,816.5,819.0,812.0,812.0,668.181,107972
HSPX.LSE,d,808.25,808.25,800.25,800.5,658.7179,601870
HSPX.LSE,d,804.0,808.25,802.0,808.25,665.0952,333584
HSPX.LSE,d,808.0,808.0,808.0,808.0,664.8895,101138
HSPX.LSE,d,804.75,806.75,803.75,806.75,663.8609,184700
HSPX.LSE,d,813.75,813.75,813.25,813.25,669.2096,100674
HSPX.LSE,d,818.25,821.25,818.25,821.25,675.7927,3329
HSPX.LSE,d,824.75,824.75,822.0,822.0,676.4099,2460
HSPX.LSE,d,822.5,822.5,821.25,821.25,675.7927,4000
HSPX.LSE,d,824.5,824.5,820.5,820.5,675.1755,218734
HSPX.LSE,d,821.0,830.5,821.0,830.0,682.9929,131593
HSPX.LSE,d,831.75,833.0,830.25,831.875,684.5358,183785
HSPX.LSE,d,828.75,828.75,824.75,824.75,678.6728,100000
HSPX.LSE,d,828.25,835.75,828.0,833.25,685.6673,101350
HSPX.LSE,d,827.5,832.25,827.5,829.375,682.4786,38123
HSPX.LSE,d,829.0,829.25,827.75,829.25,682.3758,277600
HSPX.LSE,d,829.5,829.5,822.125,822.125,676.5127,13450
HSPX.LSE,d,820.25,827.25,820.25,825.125,678.9814,57910
HSPX.LSE,d,815.0,816.0,809.0,810.625,667.0496,156023
HSPX.LSE,d,805.75,813.625,805.75,813.625,669.5182,20151
HSPX.LSE,d,817.5,824.0,817.5,820.125,674.8669,93020
HSPX.LSE,d,819.75,819.75,815.5,817.625,672.8097,27887
HSPX.LSE,d,820.5,821.25,811.5,811.625,667.8724,61328
HSPX.LSE,d,803.0,806.25,801.25,804.25,661.8037,237090
HSPX.LSE,d,806.75,818.0,806.5,818.0,673.1183,157527
HSPX.LSE,d,822.0,822.5,816.0,816.125,671.5754,73805
HSPX.LSE,d,815.25,817.25,811.75,811.75,667.9753,15310
HSPX.LSE,d,813.75,821.25,813.75,821.25,675.7927,14470
HSPX.LSE,d,816.75,820.0,814.75,814.875,670.5468,75594
HSPX.LSE,d,812.25,815.75,810.0,812.875,668.901,61792
HSPX.LSE,d,805.5,811.375,805.5,811.375,667.6667,203801
HSPX.LSE,d,809.5,809.5,799.125,799.125,657.5864,131532
HSPX.LSE,d,796.25,798.875,787.5,798.875,657.3807,321597
HSPX.LSE,d,799.5,800.0,793.0,793.875,653.2663,205596
HSPX.LSE,d,791.25,796.75,787.25,792.625,652.2377,206222
HSPX.LSE,d,799.75,800.5,794.5,794.625,653.8834,96394
HSPX.LSE,d,799.75,802.0,797.75,800.875,659.0264,152594
HSPX.LSE,d,800.75,800.75,793.5,794.0,653.3691,128245
HSPX.LSE,d,793.0,798.75,793.0,798.25,656.8664,46115
HSPX.LSE,d,805.25,813.5,805.25,813.5,669.4153,202444
HSPX.LSE,d,819.0,825.25,819.0,825.25,679.0842,106176
HSPX.LSE,d,827.5,828.0,824.25,824.25,678.2613,8926
HSPX.LSE,d,822.75,826.25,820.0,826.0,679.7014,136757
